s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_HEPTAN_SURROGATE,MLR_PRODUCTS,ZONE_1
 2.2800584E+002, 2.2150885E+001, 0.0000000E+000,-9.8631390E+000, 4.9883456E-005,-1.0090997E+001, 0.0000000E+000, 9.8254078E-001, 0.0000000E+000, 3.2798914E+000, 3.1793399E+000, 0.0000000E+000, 5.8147256E-004, 0.0000000E+000, 8.2759404E+003
 2.2900310E+002, 2.3137791E+001, 0.0000000E+000,-1.0160698E+001,-5.9378866E-005,-1.0061720E+001, 0.0000000E+000, 1.2280026E+000, 0.0000000E+000, 4.1455788E+000, 4.1433166E+000, 0.0000000E+000, 5.7884694E-004, 0.0000000E+000, 8.3014840E+003
 2.3000038E+002, 2.4067169E+001, 0.0000000E+000,-1.0364803E+001, 3.8566394E-005,-1.0063048E+001, 0.0000000E+000, 1.5455274E+000, 0.0000000E+000, 5.2078120E+000, 5.1848837E+000, 0.0000000E+000, 5.7571567E-004, 0.0000000E+000, 8.3337202E+003
 2.3100711E+002, 2.2193550E+001, 0.0000000E+000,-9.7733508E+000,-8.3569643E-006,-1.0219666E+001, 0.0000000E+000, 9.8916557E-001, 0.0000000E+000, 3.2908525E+000, 3.1896905E+000, 0.0000000E+000, 5.7531675E-004, 0.0000000E+000, 8.3547247E+003
 2.3200002E+002, 2.1981483E+001, 0.0000000E+000,-9.8157519E+000, 8.0785603E-006,-1.0296825E+001, 0.0000000E+000, 8.4819908E-001, 0.0000000E+000, 2.8003811E+000, 2.7171133E+000, 0.0000000E+000, 5.7758411E-004, 0.0000000E+000, 8.3724677E+003
 2.3300291E+002, 2.1960661E+001, 0.0000000E+000,-9.9598695E+000,-1.5444309E-005,-1.0415482E+001, 0.0000000E+000, 7.2011800E-001, 0.0000000E+000, 2.3535450E+000, 2.3054121E+000, 0.0000000E+000, 5.8022688E-004, 0.0000000E+000, 8.3875978E+003
 2.3400153E+002, 2.9244775E+001, 0.0000000E+000,-1.1560015E+001,-3.1293657E-006,-1.0520785E+001, 0.0000000E+000, 2.9605242E+000, 0.0000000E+000, 1.0174720E+001, 1.0124496E+001, 0.0000000E+000, 5.8325130E-004, 0.0000000E+000, 8.4496093E+003
 2.3500700E+002, 2.1109902E+001, 0.0000000E+000,-9.7674659E+000, 2.0226891E-005,-1.0427091E+001, 0.0000000E+000, 4.6097857E-001, 0.0000000E+000, 1.4317479E+000, 1.3763436E+000, 0.0000000E+000, 5.8578568E-004, 0.0000000E+000, 8.4593056E+003
 2.3600890E+002, 1.8967794E+001, 0.0000000E+000,-9.0697179E+000,-1.5313811E-005,-1.0398154E+001, 0.0000000E+000,-7.6745234E-002, 0.0000000E+000,-4.6820923E-001,-5.7683825E-001, 0.0000000E+000, 5.8782898E-004, 0.0000000E+000, 8.4578800E+003
 2.3700436E+002, 2.3284948E+001, 0.0000000E+000,-1.0623486E+001,-2.7836118E-005,-1.0361570E+001, 0.0000000E+000, 9.6184091E-001, 0.0000000E+000, 3.2624204E+000, 3.2617056E+000, 0.0000000E+000, 5.8530634E-004, 0.0000000E+000, 8.4777361E+003
