s,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
Time,Total,NITROGEN,OXYGEN,CARBON DIOXIDE,WATER VAPOR,CARBON MONOXIDE,SOOT,HYDROGEN,HYDROGEN CYANIDE,HEPTAN_SURROGATE,LUMPED AIR,LUMPED HEPTAN_SURROGATE,LUMPED PRODUCTS
 5.2001266E+001, 5.7338540E+001, 4.3671977E+001, 1.3180905E+001, 7.7620262E-002, 4.0610825E-001, 2.5520474E-004, 7.8826554E-004, 0.0000000E+000, 0.0000000E+000, 8.8601643E-004, 5.7106235E+001, 8.8601643E-004, 2.3141868E-001
 5.3007351E+001, 5.7338903E+001, 4.3671975E+001, 1.3179778E+001, 7.8606463E-002, 4.0656463E-001, 2.6095844E-004, 8.0603730E-004, 0.0000000E+000, 0.0000000E+000, 9.1110730E-004, 5.7101356E+001, 9.1110730E-004, 2.3663610E-001
 5.4003777E+001, 5.7339224E+001, 4.3671943E+001, 1.3178659E+001, 7.9578120E-002, 4.0701403E-001, 2.6662742E-004, 8.2354742E-004, 0.0000000E+000, 0.0000000E+000, 9.3929714E-004, 5.7096508E+001, 9.3929714E-004, 2.4177672E-001
 5.5005993E+001, 5.7339584E+001, 4.3671944E+001, 1.3177523E+001, 8.0573619E-002, 4.0747473E-001, 2.7243535E-004, 8.4148671E-004, 0.0000000E+000, 0.0000000E+000, 9.5518745E-004, 5.7091586E+001, 9.5518745E-004, 2.4704332E-001
 5.6009109E+001, 5.7339939E+001, 4.3671941E+001, 1.3176271E+001, 8.1670211E-002, 4.0798220E-001, 2.7883309E-004, 8.6124778E-004, 0.0000000E+000, 0.0000000E+000, 9.3436103E-004, 5.7086160E+001, 9.3436103E-004, 2.5284477E-001
 5.7001144E+001, 5.7340280E+001, 4.3671932E+001, 1.3174911E+001, 8.2859546E-002, 4.0853253E-001, 2.8577195E-004, 8.8268021E-004, 0.0000000E+000, 0.0000000E+000, 8.7703537E-004, 5.7080266E+001, 8.7703537E-004, 2.5913690E-001
 5.8006382E+001, 5.7340643E+001, 4.3671940E+001, 1.3173437E+001, 8.4152988E-002, 4.0913119E-001, 2.9331810E-004, 9.0598846E-004, 0.0000000E+000, 0.0000000E+000, 7.8270457E-004, 5.7073880E+001, 7.8270457E-004, 2.6597972E-001
 5.9004154E+001, 5.7340953E+001, 4.3671907E+001, 1.3172314E+001, 8.5128276E-002, 4.0958226E-001, 2.9900826E-004, 9.2356399E-004, 0.0000000E+000, 0.0000000E+000, 7.9879046E-004, 5.7069015E+001, 7.9879046E-004, 2.7113954E-001
 6.0008106E+001, 5.7341276E+001, 4.3671886E+001, 1.3171352E+001, 8.5965353E-002, 4.0996947E-001, 3.0389203E-004, 9.3864877E-004, 0.0000000E+000, 0.0000000E+000, 8.6017217E-004, 5.7064847E+001, 8.6017217E-004, 2.7556812E-001
 6.1007614E+001, 5.7341614E+001, 4.3671879E+001, 1.3170280E+001, 8.6902428E-002, 4.1040307E-001, 3.0935914E-004, 9.5553534E-004, 0.0000000E+000, 0.0000000E+000, 8.8530351E-004, 5.7060203E+001, 8.8530351E-004, 2.8052568E-001
 6.2002983E+001, 5.7341952E+001, 4.3671873E+001, 1.3169086E+001, 8.7946626E-002, 4.1088626E-001, 3.1545122E-004, 9.7435230E-004, 0.0000000E+000, 0.0000000E+000, 8.7000916E-004, 5.7055032E+001, 8.7000916E-004, 2.8604995E-001
 6.3007278E+001, 5.7342291E+001, 4.3671869E+001, 1.3167809E+001, 8.9064311E-002, 4.1140347E-001, 3.2197203E-004, 9.9449350E-004, 0.0000000E+000, 0.0000000E+000, 8.2869870E-004, 5.7049499E+001, 8.2869870E-004, 2.9196300E-001
 6.4003242E+001, 5.7342619E+001, 4.3671857E+001, 1.3166689E+001, 9.0042455E-002, 4.1185604E-001, 3.2767877E-004, 1.0121202E-003, 0.0000000E+000, 0.0000000E+000, 8.3435022E-004, 5.7044647E+001, 8.3435022E-004, 2.9713784E-001
 6.5001747E+001, 5.7342950E+001, 4.3671849E+001, 1.3165530E+001, 9.1056197E-002, 4.1232512E-001, 3.3359317E-004, 1.0303884E-003, 0.0000000E+000, 0.0000000E+000, 8.2551316E-004, 5.7039623E+001, 8.2551316E-004, 3.0250100E-001
 6.6005318E+001, 5.7343283E+001, 4.3671842E+001, 1.3164229E+001, 9.2193705E-002, 4.1285148E-001, 3.4022964E-004, 1.0508868E-003, 0.0000000E+000, 0.0000000E+000, 7.7544164E-004, 5.7033989E+001, 7.7544164E-004, 3.0851893E-001
 6.7007980E+001, 5.7343635E+001, 4.3671848E+001, 1.3163193E+001, 9.3103111E-002, 4.1327239E-001, 3.4553527E-004, 1.0672746E-003, 0.0000000E+000, 0.0000000E+000, 8.0573249E-004, 5.7029499E+001, 8.0573249E-004, 3.1333005E-001
 6.8006126E+001, 5.7343969E+001, 4.3671839E+001, 1.3162097E+001, 9.4060962E-002, 4.1371560E-001, 3.5112359E-004, 1.0845356E-003, 0.0000000E+000, 0.0000000E+000, 8.2035413E-004, 5.7024751E+001, 8.2035413E-004, 3.1839752E-001
 6.9004456E+001, 5.7344308E+001, 4.3671834E+001, 1.3160927E+001, 9.5084310E-002, 4.1418914E-001, 3.5709403E-004, 1.1029768E-003, 0.0000000E+000, 0.0000000E+000, 8.1396533E-004, 5.7019683E+001, 8.1396533E-004, 3.2381149E-001
 7.0002594E+001, 5.7344650E+001, 4.3671826E+001, 1.3159692E+001, 9.6164285E-002, 4.1468888E-001, 3.6339485E-004, 1.1224385E-003, 0.0000000E+000, 0.0000000E+000, 7.9183334E-004, 5.7014333E+001, 7.9183334E-004, 3.2952504E-001
 7.1007690E+001, 5.7344999E+001, 4.3671821E+001, 1.3158677E+001, 9.7052655E-002, 4.1509996E-001, 3.6857779E-004, 1.1384474E-003, 0.0000000E+000, 0.0000000E+000, 8.4108528E-004, 5.7009933E+001, 8.4108528E-004, 3.3422492E-001
 7.2004974E+001, 5.7345353E+001, 4.3671817E+001, 1.3157554E+001, 9.8035083E-002, 4.1555458E-001, 3.7430949E-004, 1.1561512E-003, 0.0000000E+000, 0.0000000E+000, 8.6177912E-004, 5.7005069E+001, 8.6177912E-004, 3.3942240E-001
 7.3004837E+001, 5.7345713E+001, 4.3671815E+001, 1.3156320E+001, 9.9115489E-002, 4.1605455E-001, 3.8061280E-004, 1.1756206E-003, 0.0000000E+000, 0.0000000E+000, 8.5159125E-004, 5.6999723E+001, 8.5159125E-004, 3.4513821E-001
 7.4000725E+001, 5.7346069E+001, 4.3671809E+001, 1.3155054E+001, 1.0022284E-001, 4.1656697E-001, 3.8707334E-004, 1.1955756E-003, 0.0000000E+000, 0.0000000E+000, 8.3350624E-004, 5.6994239E+001, 8.3350624E-004, 3.5099661E-001
 7.5004959E+001, 5.7346427E+001, 4.3671802E+001, 1.3153654E+001, 1.0144795E-001, 4.1713388E-001, 3.9422087E-004, 1.2176526E-003, 0.0000000E+000, 0.0000000E+000, 7.7674413E-004, 5.6988172E+001, 7.7674413E-004, 3.5747797E-001
 7.6008415E+001, 5.7346774E+001, 4.3671785E+001, 1.3152535E+001, 1.0242369E-001, 4.1758528E-001, 3.9991360E-004, 1.2352361E-003, 0.0000000E+000, 0.0000000E+000, 8.1054425E-004, 5.6983324E+001, 8.1054425E-004, 3.6264010E-001
 7.7007217E+001, 5.7347137E+001, 4.3671777E+001, 1.3151492E+001, 1.0333507E-001, 4.1800699E-001, 4.0523082E-004, 1.2516597E-003, 0.0000000E+000, 0.0000000E+000, 8.6854973E-004, 5.6978807E+001, 8.6854973E-004, 3.6746174E-001
 7.8000015E+001, 5.7347491E+001, 4.3671762E+001, 1.3150354E+001, 1.0432825E-001, 4.1846649E-001, 4.1102529E-004, 1.2695574E-003, 0.0000000E+000, 0.0000000E+000, 9.0003807E-004, 5.6973875E+001, 9.0003807E-004, 3.7271615E-001
 7.9001831E+001, 5.7347878E+001, 4.3671768E+001, 1.3149019E+001, 1.0549971E-001, 4.1900868E-001, 4.1785978E-004, 1.2906675E-003, 0.0000000E+000, 0.0000000E+000, 8.7388781E-004, 5.6968090E+001, 8.7388781E-004, 3.7891363E-001
 8.0008949E+001, 5.7348268E+001, 4.3671772E+001, 1.3147647E+001, 1.0670269E-001, 4.1956543E-001, 4.2487817E-004, 1.3123456E-003, 0.0000000E+000, 0.0000000E+000, 8.4348584E-004, 5.6962146E+001, 8.4348584E-004, 3.8527788E-001
 8.1003326E+001, 5.7348635E+001, 4.3671757E+001, 1.3146416E+001, 1.0777694E-001, 4.2006245E-001, 4.3114563E-004, 1.3317043E-003, 0.0000000E+000, 0.0000000E+000, 8.5945121E-004, 5.6956814E+001, 8.5945121E-004, 3.9096119E-001
 8.2007843E+001, 5.7348999E+001, 4.3671739E+001, 1.3145496E+001, 1.0857820E-001, 4.2043312E-001, 4.3582041E-004, 1.3461435E-003, 0.0000000E+000, 0.0000000E+000, 9.7023759E-004, 5.6952829E+001, 9.7023759E-004, 3.9520027E-001
 8.3000015E+001, 5.7349388E+001, 4.3671741E+001, 1.3144496E+001, 1.0945483E-001, 4.2083883E-001, 4.4093488E-004, 1.3619409E-003, 0.0000000E+000, 0.0000000E+000, 1.0542303E-003, 5.6948496E+001, 1.0542303E-003, 3.9983804E-001
 8.4005226E+001, 5.7349790E+001, 4.3671754E+001, 1.3142999E+001, 1.1076966E-001, 4.2144742E-001, 4.4860578E-004, 1.3856344E-003, 0.0000000E+000, 0.0000000E+000, 9.8489688E-004, 5.6942011E+001, 9.8489688E-004, 4.0679399E-001
 8.5009689E+001, 5.7350165E+001, 4.3671746E+001, 1.3141401E+001, 1.1216776E-001, 4.2209437E-001, 4.5676259E-004, 1.4108288E-003, 0.0000000E+000, 0.0000000E+000, 8.8718801E-004, 5.6935087E+001, 8.8718801E-004, 4.1419055E-001
 8.6003868E+001, 5.7350512E+001, 4.3671721E+001, 1.3140267E+001, 1.1315454E-001, 4.2255083E-001, 4.6251975E-004, 1.4286113E-003, 0.0000000E+000, 0.0000000E+000, 9.2677098E-004, 5.6930174E+001, 9.2677098E-004, 4.1941112E-001
 8.7008461E+001, 5.7350864E+001, 4.3671702E+001, 1.3139363E+001, 1.1394175E-001, 4.2291498E-001, 4.6711256E-004, 1.4427974E-003, 0.0000000E+000, 0.0000000E+000, 1.0322533E-003, 5.6926256E+001, 1.0322533E-003, 4.2357586E-001
 8.8002815E+001, 5.7351238E+001, 4.3671701E+001, 1.3138252E+001, 1.1491510E-001, 4.2336542E-001, 4.7279129E-004, 1.4603376E-003, 0.0000000E+000, 0.0000000E+000, 1.0717001E-003, 5.6921441E+001, 1.0717001E-003, 4.2872531E-001
 8.9003372E+001, 5.7351609E+001, 4.3671699E+001, 1.3137038E+001, 1.1597727E-001, 4.2385695E-001, 4.7898821E-004, 1.4794784E-003, 0.0000000E+000, 0.0000000E+000, 1.0791889E-003, 5.6916185E+001, 1.0791889E-003, 4.3434465E-001
 9.0007416E+001, 5.7351979E+001, 4.3671693E+001, 1.3135910E+001, 1.1696430E-001, 4.2431369E-001, 4.8474674E-004, 1.4972651E-003, 0.0000000E+000, 0.0000000E+000, 1.1153439E-003, 5.6911297E+001, 1.1153439E-003, 4.3956647E-001
